reaction,acyl_chlorides,amines,Controls,HTE_rate,Fast_unmeasurable,Slow_unreliable,HTE_lnk,amine_smiles,acid_smiles,test splits,NMR_rate,NMR_lnk,Notes,is_biased,bias,acyl_class_aromatic,acyl_Charges_secondary_1,acyl_pka_aHs_x_has_acidic_H,acyl_BV_secondary_2,amine_class_1_mixture,amine_Charges_secondary_1,amine_pka_basic,amine_BV_secondary_avg
rxn_07_54,7,54,16.83885254,0.0,True,False,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,ClC(=O)c1sccc1,TEST1,,,,False,0.0,False,-0.1802599438196691,0.0,114.11447323178814,False,-0.0261131870968252,9.42,65.3972803307244
rxn_22_54,22,54,1.092647029,0.0,True,False,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,CCCCC(CC)C(Cl)=O,TEST1,,,,False,0.0,False,-0.1935346488680867,14.8,115.81197648601056,False,-0.0261131870968252,9.42,65.3972803307244
rxn_07_55,7,55,16.83885254,0.0,True,False,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,ClC(=O)c1sccc1,TEST1,,,,False,0.0,False,-0.1802599438196691,0.0,114.11447323178814,False,0.0072746251062648,9.31,82.19921565263209
rxn_22_55,22,55,1.092647029,0.0,True,False,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,CCCCC(CC)C(Cl)=O,TEST1,,,,False,0.0,False,-0.1935346488680867,14.8,115.81197648601056,False,0.0072746251062648,9.31,82.19921565263209
rxn_25_55,25,55,368.6251809,0.0,True,False,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,CCCCCCCCCCCC(Cl)=O,TEST1,3921.0,3.593396842,,False,0.0,False,-0.1911716504161082,14.9,85.36150837545496,False,0.0072746251062648,9.31,82.19921565263209
rxn_07_56,7,56,16.83885254,154.66,False,False,2.189378006,C[C@@H](NCCCC1=CC(C(F)(F)F)=CC=C1)C2=CC=CC3=CC=CC=C32,ClC(=O)c1sccc1,TEST1,,,"NMR product overlaps with reagent, cannot integrate",False,0.0,False,-0.1802599438196691,0.0,114.11447323178814,False,0.0458739973182809,8.4,100.44659120703233
rxn_14_56,14,56,518.8717015,0.0,False,True,,C[C@@H](NCCCC1=CC(C(F)(F)F)=CC=C1)C2=CC=CC3=CC=CC=C32,CC(Cl)=O,TEST1,300.69,2.478118985,,True,778.30755225,False,-0.1891238519418599,14.6,48.659668145067286,False,0.0458739973182809,8.4,100.44659120703233
rxn_22_56,22,56,1.092647029,3.7,False,False,0.568201724,C[C@@H](NCCCC1=CC(C(F)(F)F)=CC=C1)C2=CC=CC3=CC=CC=C32,CCCCC(CC)C(Cl)=O,TEST1,1.94,0.28780173,,False,0.0,False,-0.1935346488680867,14.8,115.81197648601056,False,0.0458739973182809,8.4,100.44659120703233
rxn_03_54,3,54,3.638349599,0.0,True,False,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,CC(C)(C)c1ccc(cc1)C(Cl)=O,TEST1,0.0,,Immediate rxn via NMR,False,0.0,True,-0.1960400310359266,0.0,112.49645873130623,False,-0.0261131870968252,9.42,65.3972803307244
rxn_10_54,10,54,3.740116879,0.0,True,False,,CNCCC(OC1=CC=C(C(F)(F)F)C=C1)C2=CC=CC=C2,CC(C)(C)C(Cl)=O,TEST1,2336.9,3.368640129,,False,0.0,False,-0.1946452989471551,0.0,116.7595661029702,False,-0.0261131870968252,9.42,65.3972803307244
rxn_31_55,31,55,3.349492065,0.0,True,False,,FC(C=C1)=CC=C1[C@H]2[C@H](COC3=CC4=C(OCO4)C=C3)CNCC2,ClC(=O)C12CC3CC(CC(C3)C1)C2,TEST1,1087.7,3.036509129,,False,0.0,False,-0.2009221243839066,0.0,139.40758549109864,False,0.0072746251062648,9.31,82.19921565263209
